"product_name","product_price","product_price_url"
"OHLUX Smart WiFi LED Light Bulbs Compatible with Alexa Google Home and IFTTT(No Hub Required), RGBCW Multi-Color, Warm to Cool White Dimmable, 60W Equivalent, 7W E26 A19 Color Changing Bulb-6PACK","$59.99","https://www.amazon.com/OHLUX-Compatible-Multi-Color-Equivalent-Bulb-6PACK/dp/B083NTZ8TC/ref=sr_1_19?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-19"
"TECKIN Smart Light Bulb,LED RGB Color Changing 2.4G(Not 5G),E27 100W 1300LM Equivalent Compatible with Alexa and Google Home,IFTTT,2900K-6000K BR30 WiFi Light Blubs(13W),1 Pack","$20.99","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07RZKV7FQ/ref=sr_1_20?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-20"
"LIFX 1100-Lumen, 11W Dimmable A19 LED Light Bulb (LHA19E26UC10) Multi Colored - 75W - New","$46.84","https://www.amazon.com/LIFX-Adjustable-Multicolor-Dimmable-Assistant/dp/B01KY02MS8/ref=sr_1_21?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-21"
"Single Pole Treatlife Smart Light Switch (Neutral Wire Required), 2.4Ghz Wi-Fi Light Switch, Works with Alexa and Google Assistant, Schedule, Remote Control, Single Pole, ETL Listed (4 Pack)","$49.99","https://www.amazon.com/Treatlife-Smart-Light-Switch-Assistant/dp/B07R4MFWCQ/ref=sr_1_22?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-22"
"Kasa Smart Light Bulb, LED Multicolor Smart WiFi Alexa Bulbs works with Alexa and Google Home, A19,2.4Ghz, No Hub Required, 800LM RGB Color Changing (2500K-9000K), 10.5W(KL130)","$29.99","https://www.amazon.com/Kasa-Smart-Light-Multicolor-TP-Link/dp/B07FZ6PLJG/ref=sr_1_23?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-23"
"MagicLight Smart WiFi Bulb No Hub Required, Dimmable Multicolor E26 A19 7W (60w Equivalent) RGBCW LED Smart Light, Works with Alexa Google Home and Siri (4 Pack)","$34.99","https://www.amazon.com/MagicLight-Required-Multicolor-Equivalent-Compatible/dp/B07VQLZBNW/ref=sr_1_24?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-24"
"Smart Light Bulbs E12 Base LED Candelabra Bulbs, Color Changing and Dimmable, Compatible with Alexa Google Home, Tunable White Chandelier Light Bulbs 320 lm 35w Equivalent, 4 Pack","$37.99","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B07WGL5L8Q/ref=sr_1_25?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-25"
"Aigital Smart Light Bulb Works with Alexa,A19 LED WiFi Color Changing Dimmable Bulb Cool&Warm Night Light, 9W No Hub Required(Remote&Voice Control, Memory Function, DIY Scene Mode) Upgraded","$25.99","https://www.amazon.com/Aigital-Changing-Dimmable-Multicolor-Required/dp/B07ZCSRSCQ/ref=sr_1_26?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-26"
"Smart Light Bulb, Works with Alexa, Echo, Google Home and Siri, AL Above Lights Dimmable E26 9W Wi-Fi LED Smart Bulb, Soft White (2700K), 60W Equivalent, 810 LM, RGB+W, ETL Listed - 1 Pack","$13.99","https://www.amazon.com/AL-Above-Lights-Dimmable-Equivalent/dp/B07SN3MZM7/ref=sr_1_27?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-27"
"OHLUX Smart WiFi LED Light Bulbs Compatible with Alexa Google Home and IFTTT(No Hub Required), RGBCW Multi-Color, Warm to Cool White Dimmable, 60W Equivalent, 7W E26 A19 Color Changing Bulb-4PACK","$34.99","https://www.amazon.com/OHLUX-Compatible-Equivalent-Multi-Color-Bulb-4PACK/dp/B07LCB3HQJ/ref=sr_1_28?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-28"
